title,category,slug,noc_code,data_year,trend_from_year,num_jobs,unemployment_rate,employment_share_pct,employment_change_pct,employment_change_abs,men_share_pct,women_share_pct,num_employees,average_hourly_wage,average_weekly_wage,median_hourly_wage,median_weekly_wage,outlook_label,outlook_score,outlook_window_start,outlook_window_end,outlook_release_date,outlook_source_url,epiac_reference_year,epiac_display_score,epiac_high_exposure_pct,epiac_helc_pct,epiac_hehc_pct,epiac_low_pct,epiac_aioe,epiac_complementarity,epiac_caioe,epiac_group_code,epiac_group_label,epiac_source_title,epiac_source_url,epiac_source_note,epiac_source_groups,url,employment_url,wages_url
"Support occupations in art, culture and sport","Occupations in art, culture, recreation and sport, except management",noc-54-55,54-55,2025,2019,190700,5.6,0.9,32.7,47000,42.8,57.2,155500,22.54,434.21,20.00,300.00,Limited,-0.87,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,8,79.0,46.0,33.0,21.0,6.1135,0.6011,4.5674,HELC,"High exposure, low complementarity","Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,"Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Occupations in art, culture, recreation and sports (51, 52).","Occupations in art, culture, recreation and sports (51, 52)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
Professional occupations in art and culture,"Occupations in art, culture, recreation and sport, except management",noc-51,51,2025,2019,175500,3.2,0.8,15.8,23900,48.3,51.7,90200,41.97,1510.02,39.11,1442.40,Limited,-0.58,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,8,79.0,46.0,33.0,21.0,6.1135,0.6011,4.5674,HELC,"High exposure, low complementarity","Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,"Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Occupations in art, culture, recreation and sports (51, 52).","Occupations in art, culture, recreation and sports (51, 52)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
"Technical occupations in art, culture and sport","Occupations in art, culture, recreation and sport, except management",noc-52,52,2025,2019,175500,6.2,0.8,20.8,30200,47.5,52.5,117600,36.24,1344.44,33.00,1250.10,Limited,-1.34,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,8,79.0,46.0,33.0,21.0,6.1135,0.6011,4.5674,HELC,"High exposure, low complementarity","Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,"Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Occupations in art, culture, recreation and sports (51, 52).","Occupations in art, culture, recreation and sports (51, 52)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
"Occupations in art, culture and sport","Occupations in art, culture, recreation and sport, except management",noc-53,53,2025,2019,113700,7.9,0.5,-2.2,-2500,39.8,60.1,44200,27.97,784.20,26.50,673.00,Limited,-1.05,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,8,79.0,46.0,33.0,21.0,6.1135,0.6011,4.5674,HELC,"High exposure, low complementarity","Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,"Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Occupations in art, culture, recreation and sports (51, 52).","Occupations in art, culture, recreation and sports (51, 52)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
Professional occupations in education services,"Occupations in education, law and social, community and government services, except management",noc-412,412,2025,2019,871800,3.5,4.1,21.3,153000,31.4,68.6,858800,47.58,1566.63,46.63,1634.50,Moderate,-0.02,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,10,100.0,12.0,88.0,0.0,6.4791,0.6780,4.3461,HEHC,"High exposure, high complementarity","Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Professional occupations in education services (40).,Professional occupations in education services (40),https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
"Paraprofessional occupations in legal, social, community and education services","Occupations in education, law and social, community and government services, except management",noc-422,422,2025,2019,522400,3.6,2.5,14.9,67900,13.3,86.7,474600,27.41,928.53,26.00,923.10,Moderate,0.26,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,7,66.0,32.0,34.0,34.0,6.1154,0.6333,4.3856,HEHC,"High exposure, high complementarity","Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,"Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Support occupations in law and social services (42, 43, 44).","Support occupations in law and social services (42, 43, 44)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
Professional occupations in government services,"Occupations in education, law and social, community and government services, except management",noc-414,414,2025,2019,263400,2.7,1.3,27.1,56100,37.6,62.4,241700,48.20,1772.62,45.67,1700.00,Moderate,-0.34,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,10,100.0,24.0,76.0,0.0,6.5639,0.6414,4.6434,HEHC,"High exposure, high complementarity","Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,"Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Professional occupations in law and social, community and government services (41).","Professional occupations in law and social, community and government services (41)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
Professional occupations in social and community services,"Occupations in education, law and social, community and government services, except management",noc-413,413,2025,2019,226900,1.8,1.1,15.8,30900,26.7,73.3,188000,41.50,1439.75,40.00,1409.10,Moderate,0.42,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,10,100.0,24.0,76.0,0.0,6.5639,0.6414,4.6434,HEHC,"High exposure, high complementarity","Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,"Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Professional occupations in law and social, community and government services (41).","Professional occupations in law and social, community and government services (41)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
Assisting occupations in education and in legal and public protection,"Occupations in education, law and social, community and government services, except management",noc-43,43,2025,2019,215100,5.6,1.0,33.5,54000,30.1,69.9,198900,31.40,1010.68,29.74,961.45,Moderate,0.19,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,7,66.0,32.0,34.0,34.0,6.1154,0.6333,4.3856,HEHC,"High exposure, high complementarity","Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,"Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Support occupations in law and social services (42, 43, 44).","Support occupations in law and social services (42, 43, 44)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
Professional occupations in law,"Occupations in education, law and social, community and government services, except management",noc-411,411,2025,2019,146800,1.9,0.7,38.2,40600,49.5,50.5,97300,71.25,2829.00,62.92,2461.55,Moderate,0.17,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,10,100.0,24.0,76.0,0.0,6.5639,0.6414,4.6434,HEHC,"High exposure, high complementarity","Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,"Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Professional occupations in law and social, community and government services (41).","Professional occupations in law and social, community and government services (41)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
Occupations in front-line public protection services,"Occupations in education, law and social, community and government services, except management",noc-421,421,2025,2019,136900,,0.7,34.7,35300,82.3,17.7,136900,50.13,2069.62,50.08,2115.45,Moderate,0.36,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,7,66.0,32.0,34.0,34.0,6.1154,0.6333,4.3856,HEHC,"High exposure, high complementarity","Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,"Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Support occupations in law and social services (42, 43, 44).","Support occupations in law and social services (42, 43, 44)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
"Care providers and public protection support occupations and student monitors, crossing guards and related occupations","Occupations in education, law and social, community and government services, except management",noc-44-45,44-45,2025,2019,118200,4.4,0.6,-8.4,-10900,15.1,84.9,100800,21.65,579.96,21.00,570.50,Moderate,0.25,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,7,66.0,32.0,34.0,34.0,6.1154,0.6333,4.3856,HEHC,"High exposure, high complementarity","Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,"Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Support occupations in law and social services (42, 43, 44).","Support occupations in law and social services (42, 43, 44)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
"Machine operators, assemblers and inspectors in processing, manufacturing and printing","Occupations in manufacturing and utilities, except management",noc-94,94,2025,2019,509700,4.3,2.4,1.5,7500,72.8,27.2,492300,26.72,1050.92,25.00,1000.00,Moderate,-0.43,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,1,10.0,0.0,10.0,90.0,5.7288,0.5829,4.3706,LOW,Low exposure,"Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,"Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Machine operators and supervisors in manufacturing and utilities (92, 94).","Machine operators and supervisors in manufacturing and utilities (92, 94)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
"Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors","Occupations in manufacturing and utilities, except management",noc-92-93,92-93,2025,2019,197300,2.0,0.9,-9.9,-21700,84.6,15.4,182800,42.44,1738.52,39.00,1580.40,Moderate,-0.16,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,1,10.0,0.0,10.0,90.0,5.7288,0.5829,4.3706,LOW,Low exposure,"Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,"Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Machine operators and supervisors in manufacturing and utilities (92, 94).","Machine operators and supervisors in manufacturing and utilities (92, 94)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
"Labourers in processing, manufacturing and utilities","Occupations in manufacturing and utilities, except management",noc-95,95,2025,2019,132100,7.2,0.6,-15.3,-23900,63.1,36.9,132000,22.78,870.07,21.32,833.76,Limited,-1.16,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,0,0.0,0.0,0.0,100.0,5.5736,0.5196,4.6156,LOW,Low exposure,"Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,"Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Assemblers and labourers in manufacturing and utilities (95, 96).","Assemblers and labourers in manufacturing and utilities (95, 96)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
Sales and service support occupations,"Sales and service occupations, except management",noc-65,65,2025,2019,1751100,5.6,8.3,-3.7,-66500,41.2,58.8,1662800,19.50,519.13,18.00,480.00,Moderate,-0.49,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,0,1.0,1.0,0.0,99.0,5.5812,0.5093,4.6833,LOW,Low exposure,"Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,"Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Support occupations in sales and service (66, 67).","Support occupations in sales and service (66, 67)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
Sales and service representatives and other customer and personal services occupations,"Sales and service occupations, except management",noc-64,64,2025,2019,1376800,4.8,6.5,-4.8,-69600,47.7,52.3,1334200,25.25,833.50,21.00,740.00,Limited,-0.65,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,9,89.1,82.8,6.3,10.9,6.1547,0.5414,4.9700,HELC,"High exposure, low complementarity","Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,Mapped to a weighted blend of published StatCan EPIAC occupation groups from the 2021 Census (NOC 2016): Sales representatives and salespersons in wholesale and retail trade (64); Service representatives and other customer and personal services occupations (65).,Sales representatives and salespersons in wholesale and retail trade (64); Service representatives and other customer and personal services occupations (65),https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
Occupations in sales and services,"Sales and service occupations, except management",noc-63,63,2025,2019,723200,2.9,3.4,0.4,2700,45.5,54.5,490000,26.25,910.41,22.00,800.00,Moderate,-0.20,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,5,46.0,19.0,27.0,54.0,6.0893,0.6046,4.5206,LOW,Low exposure,"Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,"Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Sales and service supervisors (62, 63).","Sales and service supervisors (62, 63)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
Retail sales and service supervisors and specialized occupations in sales and services,"Sales and service occupations, except management",noc-62,62,2025,2019,646500,3.2,3.1,-5.2,-35500,54.7,45.3,617500,29.66,1132.33,25.00,964.80,Moderate,-0.12,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,5,46.0,19.0,27.0,54.0,6.0893,0.6046,4.5206,LOW,Low exposure,"Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,"Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Sales and service supervisors (62, 63).","Sales and service supervisors (62, 63)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
Technical trades and transportation officers and controllers,"Trades, transport and equipment operators and related occupations, except management",noc-72,72,2025,2019,1520000,4.1,7.2,2.8,42100,95.8,4.2,1316900,38.48,1557.41,37.00,1480.00,Moderate,-0.22,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,0,0.0,0.0,0.0,100.0,5.5727,0.6381,3.9541,LOW,Low exposure,"Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,"Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Industrial, electrical and construction trades (72).","Industrial, electrical and construction trades (72)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
General trades,"Trades, transport and equipment operators and related occupations, except management",noc-73,73,2025,2019,853500,5.7,4.1,6.5,52100,92.1,7.9,699400,30.68,1248.78,29.00,1200.00,Moderate,-0.10,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,1,7.0,0.0,7.0,93.0,5.6534,0.6609,3.8844,LOW,Low exposure,"Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Maintenance and equipment operation trades (73).,Maintenance and equipment operation trades (73),https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
"Helpers and labourers and other transport drivers, operators and labourers","Trades, transport and equipment operators and related occupations, except management",noc-75,75,2025,2019,604700,8.1,2.9,10.7,58300,87.8,12.2,515400,25.55,959.57,24.00,920.00,Moderate,-0.45,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,0,0.0,0.0,0.0,100.0,5.5430,0.6095,4.0975,LOW,Low exposure,"Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,"Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Transport and heavy equipment operators and servicers (74, 75).","Transport and heavy equipment operators and servicers (74, 75)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
"Mail and message distribution, other transport equipment operators and related maintenance workers","Trades, transport and equipment operators and related occupations, except management",noc-74,74,2025,2019,154900,4.6,0.7,12.5,17200,83.9,16.1,149600,29.59,1122.49,29.33,1153.80,Moderate,-0.33,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,0,0.0,0.0,0.0,100.0,5.5430,0.6095,4.0975,LOW,Low exposure,"Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,"Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Transport and heavy equipment operators and servicers (74, 75).","Transport and heavy equipment operators and servicers (74, 75)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
