oasis_profile_code,noc_code,profile_title,unit_group_title,profile_suffix,is_unit_group_profile,unit_group_profile_count,mapping_kind,mapping_status
41221.00,41221,Elementary school and kindergarten teachers,Elementary school and kindergarten teachers,00,True,1,one_to_one,mapped
41300.00,41300,Social workers,Social workers,00,True,1,one_to_one,mapped
41301.00,41301,Therapists in counselling and related specialized therapies,Therapists in counselling and related specialized therapies,00,True,1,one_to_one,mapped
41302.00,41302,Religious leaders,Religious leaders,00,True,1,one_to_one,mapped
41310.01,41310,Police investigators,Police investigators and other investigative occupations,01,False,2,one_to_many,mapped
41310.02,41310,Coroners and medical examiners,Police investigators and other investigative occupations,02,False,2,one_to_many,mapped
41311.00,41311,Probation and parole officers,Probation and parole officers,00,True,1,one_to_one,mapped
41320.00,41320,Educational counsellors,Educational counsellors,00,True,1,one_to_one,mapped
41321.00,41321,Career development practitioners and career counsellors (except education),Career development practitioners and career counsellors (except education),00,True,1,one_to_one,mapped
41400.01,41400,Ergonomists,"Natural and applied science policy researchers, consultants and program officers",01,False,5,one_to_many,mapped
41400.02,41400,Occupational or industrial hygienists,"Natural and applied science policy researchers, consultants and program officers",02,False,5,one_to_many,mapped
41400.03,41400,Patent agents,"Natural and applied science policy researchers, consultants and program officers",03,False,5,one_to_many,mapped
41400.04,41400,Science policy and program officers,"Natural and applied science policy researchers, consultants and program officers",04,False,5,one_to_many,mapped
41400.05,41400,Technology transfer officers,"Natural and applied science policy researchers, consultants and program officers",05,False,5,one_to_many,mapped
41401.00,41401,Economists and economic policy researchers and analysts,Economists and economic policy researchers and analysts,00,True,1,one_to_one,mapped
41402.00,41402,Business development officers and market researchers and analysts,Business development officers and market researchers and analysts,00,True,1,one_to_one,mapped
41403.01,41403,Social policy researchers,"Social policy researchers, consultants and program officers",01,False,7,one_to_many,mapped
41403.02,41403,Home economists,"Social policy researchers, consultants and program officers",02,False,7,one_to_many,mapped
41403.03,41403,Housing policy analysts,"Social policy researchers, consultants and program officers",03,False,7,one_to_many,mapped
41403.04,41403,Immigration and citizenship consultants,"Social policy researchers, consultants and program officers",04,False,7,one_to_many,mapped
